# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 307 7 48 0 0
10001 229 2 484 66 1
10002 350 9 278 0 0
10003 440 6 229 84 17
10004 231 1 34 33 11
10005 124 8 121 0 0
10006 184 4 113 70 75
10007 492 4 340 0 0
10008 183 6 36 65 0
10009 142 5 474 0 0
10010 153 7 170 1 11
10011 165 2 79 0 0
10012 263 9 427 0 0
10013 50 10 416 0 0
10014 228 2 40 0 0
10015 181 5 407 0 0
10016 350 7 50 0 0
10017 170 10 100 3 44
10018 65 6 274 0 0
10019 427 5 297 0 0
10020 254 2 33 0 0
10021 398 2 342 22 3
10022 391 10 156 0 0
10023 50 9 352 0 0
10024 238 6 211 0 0
10025 248 1 287 0 0
10026 497 1 390 21 317
10027 230 1 24 0 0
10028 440 8 368 0 0
10029 198 7 487 0 0
